"date","median_ndvi","landsat","year","month","day"
2010-02-01,0.187682963907719,"Landsat7 (ETM+)",2010,2,1
2010-02-06,0.178055717922959,"Landsat7 (ETM+)",2010,2,6
2010-02-11,0.16827296410877,"Landsat7 (ETM+)",2010,2,11
2010-02-16,0.158593882180867,"Landsat7 (ETM+)",2010,2,16
2010-02-21,0.149277651854964,"Landsat7 (ETM+)",2010,2,21
2010-02-26,0.140618678698687,"Landsat7 (ETM+)",2010,2,26
2010-03-03,0.133633099729195,"Landsat7 (ETM+)",2010,3,3
2010-03-08,0.127634362771426,"Landsat7 (ETM+)",2010,3,8
2010-03-13,0.121192081658929,"Landsat7 (ETM+)",2010,3,13
2010-03-18,0.112875870225253,"Landsat7 (ETM+)",2010,3,18
2010-03-23,0.100021215388551,"Landsat7 (ETM+)",2010,3,23
2010-03-28,0.0818117336505868,"Landsat7 (ETM+)",2010,3,28
2010-04-02,0.083045837469399,"Landsat7 (ETM+)",2010,4,2
2010-04-07,0.0867227959097363,"Landsat7 (ETM+)",2010,4,7
2010-04-12,0.0756581979803741,"Landsat7 (ETM+)",2010,4,12
2010-04-17,0.0790971560345497,"Landsat7 (ETM+)",2010,4,17
2010-04-22,0.0915718600153923,"Landsat7 (ETM+)",2010,4,22
2010-04-27,0.0908714127435815,"Landsat7 (ETM+)",2010,4,27
2010-05-02,0.0915670686517842,"Landsat7 (ETM+)",2010,5,2
2010-05-07,0.0967766159956227,"Landsat7 (ETM+)",2010,5,7
2010-05-12,0.0935229631140828,"Landsat7 (ETM+)",2010,5,12
2010-05-17,0.0897219400576432,"Landsat7 (ETM+)",2010,5,17
2010-05-22,0.0936207521590404,"Landsat7 (ETM+)",2010,5,22
2010-05-27,0.0876021855001454,"Landsat7 (ETM+)",2010,5,27
2010-06-01,0.0781606361269951,"Landsat7 (ETM+)",2010,6,1
2010-06-06,0.0893991138000274,"Landsat7 (ETM+)",2010,6,6
2010-06-11,0.102372164716849,"Landsat7 (ETM+)",2010,6,11
2010-06-16,0.112277241612901,"Landsat7 (ETM+)",2010,6,16
2010-06-21,0.12123293752725,"Landsat7 (ETM+)",2010,6,21
2010-06-26,0.129535311249462,"Landsat7 (ETM+)",2010,6,26
2010-07-01,0.137480421569103,"Landsat7 (ETM+)",2010,7,1
2010-07-06,0.145364327275738,"Landsat7 (ETM+)",2010,7,6
2010-07-11,0.153483087158933,"Landsat7 (ETM+)",2010,7,11
2010-07-16,0.162132760008253,"Landsat7 (ETM+)",2010,7,16
2010-07-21,0.171609404613264,"Landsat7 (ETM+)",2010,7,21
2010-07-26,0.182209079763531,"Landsat7 (ETM+)",2010,7,26
2010-07-31,0.19422784424862,"Landsat7 (ETM+)",2010,7,31
2010-08-05,0.208017290753559,"Landsat7 (ETM+)",2010,8,5
2010-08-10,0.225346996550797,"Landsat7 (ETM+)",2010,8,10
2010-08-15,0.246064912506578,"Landsat7 (ETM+)",2010,8,15
2010-08-20,0.268970847129821,"Landsat7 (ETM+)",2010,8,20
2010-08-25,0.292864608929449,"Landsat7 (ETM+)",2010,8,25
2010-08-30,0.316546006414379,"Landsat7 (ETM+)",2010,8,30
2010-09-04,0.338814848093534,"Landsat7 (ETM+)",2010,9,4
2010-09-09,0.358470942475833,"Landsat7 (ETM+)",2010,9,9
2010-09-14,0.374314098070196,"Landsat7 (ETM+)",2010,9,14
2010-09-19,0.385144123385544,"Landsat7 (ETM+)",2010,9,19
2010-09-24,0.389554390639205,"Landsat7 (ETM+)",2010,9,24
2010-09-29,0.38684697682038,"Landsat7 (ETM+)",2010,9,29
2010-10-04,0.378811797972048,"Landsat7 (ETM+)",2010,10,4
2010-10-09,0.367414954038395,"Landsat7 (ETM+)",2010,10,9
2010-10-14,0.354622544963604,"Landsat7 (ETM+)",2010,10,14
2010-10-19,0.342400670691859,"Landsat7 (ETM+)",2010,10,19
2010-10-24,0.332607112590874,"Landsat7 (ETM+)",2010,10,24
2010-10-29,0.323247287858976,"Landsat7 (ETM+)",2010,10,29
2010-11-03,0.313116789694808,"Landsat7 (ETM+)",2010,11,3
2010-11-08,0.302572677532832,"Landsat7 (ETM+)",2010,11,8
2010-11-13,0.291972010807513,"Landsat7 (ETM+)",2010,11,13
2010-11-18,0.281671848953314,"Landsat7 (ETM+)",2010,11,18
2010-11-23,0.272029251404699,"Landsat7 (ETM+)",2010,11,23
2010-11-28,0.263401277596131,"Landsat7 (ETM+)",2010,11,28
2010-12-03,0.256144986962075,"Landsat7 (ETM+)",2010,12,3
2010-12-08,0.250617438936994,"Landsat7 (ETM+)",2010,12,8
