"date","median_ndvi","landsat","year","month","day"
2010-02-01,0.207102075219154,"Landsat7 (ETM+)",2010,2,1
2010-02-06,0.15807394622243,"Landsat7 (ETM+)",2010,2,6
2010-02-11,0.135559815011221,"Landsat7 (ETM+)",2010,2,11
2010-02-16,0.1462654668685,"Landsat7 (ETM+)",2010,2,16
2010-02-21,0.166768794646487,"Landsat7 (ETM+)",2010,2,21
2010-02-26,0.176099799987343,"Landsat7 (ETM+)",2010,2,26
2010-03-03,0.174124644603581,"Landsat7 (ETM+)",2010,3,3
2010-03-08,0.16758309240039,"Landsat7 (ETM+)",2010,3,8
2010-03-13,0.158005413081911,"Landsat7 (ETM+)",2010,3,13
2010-03-18,0.14692187635228,"Landsat7 (ETM+)",2010,3,18
2010-03-23,0.134325888939202,"Landsat7 (ETM+)",2010,3,23
2010-03-28,0.118094910576474,"Landsat7 (ETM+)",2010,3,28
2010-04-02,0.121680187527091,"Landsat7 (ETM+)",2010,4,2
2010-04-07,0.127354365431529,"Landsat7 (ETM+)",2010,4,7
2010-04-12,0.117132062732708,"Landsat7 (ETM+)",2010,4,12
2010-04-17,0.120585466691409,"Landsat7 (ETM+)",2010,4,17
2010-04-22,0.131383493542671,"Landsat7 (ETM+)",2010,4,22
2010-04-27,0.12250401826168,"Landsat7 (ETM+)",2010,4,27
2010-05-02,0.122132439340931,"Landsat7 (ETM+)",2010,5,2
2010-05-07,0.136790778436989,"Landsat7 (ETM+)",2010,5,7
2010-05-12,0.132776075508446,"Landsat7 (ETM+)",2010,5,12
2010-05-17,0.127201272189268,"Landsat7 (ETM+)",2010,5,17
2010-05-22,0.136717922869139,"Landsat7 (ETM+)",2010,5,22
2010-05-27,0.132327967599849,"Landsat7 (ETM+)",2010,5,27
2010-06-01,0.121119230985641,"Landsat7 (ETM+)",2010,6,1
2010-06-06,0.129674636684026,"Landsat7 (ETM+)",2010,6,6
2010-06-11,0.14358762747224,"Landsat7 (ETM+)",2010,6,11
2010-06-16,0.158268934780306,"Landsat7 (ETM+)",2010,6,16
2010-06-21,0.174254223625597,"Landsat7 (ETM+)",2010,6,21
2010-06-26,0.191180654952252,"Landsat7 (ETM+)",2010,6,26
2010-07-01,0.208685389704405,"Landsat7 (ETM+)",2010,7,1
2010-07-06,0.226405588826194,"Landsat7 (ETM+)",2010,7,6
2010-07-11,0.243978413261756,"Landsat7 (ETM+)",2010,7,11
