"date","median_ndvi","landsat","year","month","day"
2010-02-25,0.129380226135254,"Landsat4/5 (TM)",2010,2,25
2010-03-02,0.127051661803534,"Landsat4/5 (TM)",2010,3,2
2010-03-07,0.12474211326662,"Landsat4/5 (TM)",2010,3,7
2010-03-12,0.122434801882036,"Landsat4/5 (TM)",2010,3,12
2010-03-17,0.120112949007307,"Landsat4/5 (TM)",2010,3,17
2010-03-22,0.117759775999957,"Landsat4/5 (TM)",2010,3,22
2010-03-27,0.115358504217511,"Landsat4/5 (TM)",2010,3,27
2010-04-01,0.11258263842592,"Landsat4/5 (TM)",2010,4,1
2010-04-06,0.108998019713909,"Landsat4/5 (TM)",2010,4,6
2010-04-11,0.106402737333156,"Landsat4/5 (TM)",2010,4,11
2010-04-16,0.106888348167559,"Landsat4/5 (TM)",2010,4,16
2010-04-21,0.111457612039431,"Landsat4/5 (TM)",2010,4,21
2010-04-26,0.116767813073239,"Landsat4/5 (TM)",2010,4,26
2010-05-01,0.118911826876789,"Landsat4/5 (TM)",2010,5,1
2010-05-06,0.116410625962796,"Landsat4/5 (TM)",2010,5,6
2010-05-11,0.112224417413926,"Landsat4/5 (TM)",2010,5,11
2010-05-16,0.109762467443943,"Landsat4/5 (TM)",2010,5,16
2010-05-21,0.109679076158389,"Landsat4/5 (TM)",2010,5,21
2010-05-26,0.110683468311891,"Landsat4/5 (TM)",2010,5,26
2010-05-31,0.113267297091841,"Landsat4/5 (TM)",2010,5,31
2010-06-05,0.11797015319103,"Landsat4/5 (TM)",2010,6,5
2010-06-10,0.124985395314651,"Landsat4/5 (TM)",2010,6,10
2010-06-15,0.134077084195097,"Landsat4/5 (TM)",2010,6,15
2010-06-20,0.145001381191821,"Landsat4/5 (TM)",2010,6,20
2010-06-25,0.157514447664276,"Landsat4/5 (TM)",2010,6,25
2010-06-30,0.171372444971913,"Landsat4/5 (TM)",2010,6,30
2010-07-05,0.186331534474187,"Landsat4/5 (TM)",2010,7,5
2010-07-10,0.20214787753055,"Landsat4/5 (TM)",2010,7,10
2010-07-15,0.218577635500454,"Landsat4/5 (TM)",2010,7,15
2010-07-20,0.235376969743351,"Landsat4/5 (TM)",2010,7,20
2010-07-25,0.252302041618695,"Landsat4/5 (TM)",2010,7,25
2010-07-30,0.269109012485939,"Landsat4/5 (TM)",2010,7,30
2010-08-04,0.285554043704535,"Landsat4/5 (TM)",2010,8,4
2010-08-09,0.301393296633935,"Landsat4/5 (TM)",2010,8,9
2010-08-14,0.316382932633592,"Landsat4/5 (TM)",2010,8,14
2010-08-19,0.33027911306296,"Landsat4/5 (TM)",2010,8,19
2010-08-24,0.34283799928149,"Landsat4/5 (TM)",2010,8,24
2010-08-29,0.353815752648635,"Landsat4/5 (TM)",2010,8,29
2010-09-03,0.362968534523849,"Landsat4/5 (TM)",2010,9,3
2010-09-08,0.370052506266583,"Landsat4/5 (TM)",2010,9,8
2010-09-13,0.374823829236291,"Landsat4/5 (TM)",2010,9,13
2010-09-18,0.377038664792424,"Landsat4/5 (TM)",2010,9,18
2010-09-23,0.376092399306019,"Landsat4/5 (TM)",2010,9,23
2010-09-28,0.369063176732879,"Landsat4/5 (TM)",2010,9,28
2010-10-03,0.356792156029509,"Landsat4/5 (TM)",2010,10,3
2010-10-08,0.341053308471308,"Landsat4/5 (TM)",2010,10,8
2010-10-13,0.323620605333677,"Landsat4/5 (TM)",2010,10,13
2010-10-18,0.306268017892015,"Landsat4/5 (TM)",2010,10,18
2010-10-23,0.290769517421722,"Landsat4/5 (TM)",2010,10,23
2010-10-28,0.276138982794893,"Landsat4/5 (TM)",2010,10,28
2010-11-02,0.260485907443378,"Landsat4/5 (TM)",2010,11,2
2010-11-07,0.244227684482211,"Landsat4/5 (TM)",2010,11,7
2010-11-12,0.227781707026426,"Landsat4/5 (TM)",2010,11,12
2010-11-17,0.211565368191057,"Landsat4/5 (TM)",2010,11,17
2010-11-22,0.195996061091136,"Landsat4/5 (TM)",2010,11,22
2010-11-27,0.181491178841699,"Landsat4/5 (TM)",2010,11,27
2010-12-02,0.168468114557779,"Landsat4/5 (TM)",2010,12,2
2010-12-07,0.15734426135441,"Landsat4/5 (TM)",2010,12,7
2010-12-12,0.148918157334265,"Landsat4/5 (TM)",2010,12,12
2010-12-17,0.145703937842881,"Landsat4/5 (TM)",2010,12,17
2010-12-22,0.144864986592438,"Landsat4/5 (TM)",2010,12,22
2010-12-27,0.142526001481655,"Landsat4/5 (TM)",2010,12,27
2011-01-01,0.138442948784359,"Landsat4/5 (TM)",2011,1,1
2011-01-06,0.133789344731213,"Landsat4/5 (TM)",2011,1,6
2011-01-11,0.128894567489624,"Landsat4/5 (TM)",2011,1,11
2011-01-16,0.124087995227001,"Landsat4/5 (TM)",2011,1,16
2011-01-21,0.11969900611075,"Landsat4/5 (TM)",2011,1,21
2011-01-26,0.11605697830828,"Landsat4/5 (TM)",2011,1,26
2011-01-31,0.113673010549974,"Landsat4/5 (TM)",2011,1,31
2011-02-05,0.112453196651586,"Landsat4/5 (TM)",2011,2,5
2011-02-10,0.111270193687232,"Landsat4/5 (TM)",2011,2,10
2011-02-15,0.109080104864461,"Landsat4/5 (TM)",2011,2,15
2011-02-20,0.106084666913375,"Landsat4/5 (TM)",2011,2,20
2011-02-25,0.10328067123055,"Landsat4/5 (TM)",2011,2,25
2011-03-02,0.101549223432813,"Landsat4/5 (TM)",2011,3,2
2011-03-07,0.100398733251041,"Landsat4/5 (TM)",2011,3,7
2011-03-12,0.0996091756096577,"Landsat4/5 (TM)",2011,3,12
2011-03-17,0.0991853638956854,"Landsat4/5 (TM)",2011,3,17
2011-03-22,0.0991321114961462,"Landsat4/5 (TM)",2011,3,22
2011-03-27,0.0994542317980627,"Landsat4/5 (TM)",2011,3,27
2011-04-01,0.100156538188457,"Landsat4/5 (TM)",2011,4,1
2011-04-06,0.101682900507057,"Landsat4/5 (TM)",2011,4,6
2011-04-11,0.104005566023261,"Landsat4/5 (TM)",2011,4,11
2011-04-16,0.106421914268594,"Landsat4/5 (TM)",2011,4,16
