"date","median_ndvi","landsat","year","month","day"
2010-02-25,0.229690819978714,"Landsat4/5 (TM)",2010,2,25
2010-03-02,0.215989196136661,"Landsat4/5 (TM)",2010,3,2
2010-03-07,0.201326324649926,"Landsat4/5 (TM)",2010,3,7
2010-03-12,0.186550365204993,"Landsat4/5 (TM)",2010,3,12
2010-03-17,0.172509477488347,"Landsat4/5 (TM)",2010,3,17
2010-03-22,0.160051821186471,"Landsat4/5 (TM)",2010,3,22
2010-03-27,0.150025555985848,"Landsat4/5 (TM)",2010,3,27
2010-04-01,0.143512733860006,"Landsat4/5 (TM)",2010,4,1
2010-04-06,0.141237973701209,"Landsat4/5 (TM)",2010,4,6
2010-04-11,0.141678007569681,"Landsat4/5 (TM)",2010,4,11
2010-04-16,0.143542632897152,"Landsat4/5 (TM)",2010,4,16
2010-04-21,0.148376015979011,"Landsat4/5 (TM)",2010,4,21
2010-04-26,0.153939313488081,"Landsat4/5 (TM)",2010,4,26
2010-05-01,0.157022967762516,"Landsat4/5 (TM)",2010,5,1
2010-05-06,0.15673800517358,"Landsat4/5 (TM)",2010,5,6
2010-05-11,0.155074928465368,"Landsat4/5 (TM)",2010,5,11
2010-05-16,0.154057696461678,"Landsat4/5 (TM)",2010,5,16
2010-05-21,0.154063104173456,"Landsat4/5 (TM)",2010,5,21
2010-05-26,0.15416921817731,"Landsat4/5 (TM)",2010,5,26
2010-05-31,0.154451904645533,"Landsat4/5 (TM)",2010,5,31
2010-06-05,0.156967922270969,"Landsat4/5 (TM)",2010,6,5
2010-06-10,0.165281341234187,"Landsat4/5 (TM)",2010,6,10
2010-06-15,0.178492936755571,"Landsat4/5 (TM)",2010,6,15
2010-06-20,0.195572303127105,"Landsat4/5 (TM)",2010,6,20
2010-06-25,0.21548903464077,"Landsat4/5 (TM)",2010,6,25
2010-06-30,0.23721272558855,"Landsat4/5 (TM)",2010,6,30
2010-07-05,0.259712970262428,"Landsat4/5 (TM)",2010,7,5
2010-07-10,0.281959362954385,"Landsat4/5 (TM)",2010,7,10
2010-07-15,0.302921497956404,"Landsat4/5 (TM)",2010,7,15
2010-07-20,0.321568969560468,"Landsat4/5 (TM)",2010,7,20
2010-07-25,0.336871372058559,"Landsat4/5 (TM)",2010,7,25
2010-07-30,0.347798299742661,"Landsat4/5 (TM)",2010,7,30
2010-08-04,0.353319346904755,"Landsat4/5 (TM)",2010,8,4
2010-08-09,0.355584072984533,"Landsat4/5 (TM)",2010,8,9
2010-08-14,0.357447161055554,"Landsat4/5 (TM)",2010,8,14
2010-08-19,0.358935890860602,"Landsat4/5 (TM)",2010,8,19
2010-08-24,0.360077542142462,"Landsat4/5 (TM)",2010,8,24
2010-08-29,0.360899394643918,"Landsat4/5 (TM)",2010,8,29
2010-09-03,0.361428728107754,"Landsat4/5 (TM)",2010,9,3
2010-09-08,0.361692822276754,"Landsat4/5 (TM)",2010,9,8
2010-09-13,0.361718956893702,"Landsat4/5 (TM)",2010,9,13
2010-09-18,0.361534411701384,"Landsat4/5 (TM)",2010,9,18
2010-09-23,0.361047073016689,"Landsat4/5 (TM)",2010,9,23
2010-09-28,0.359288192043495,"Landsat4/5 (TM)",2010,9,28
2010-10-03,0.356328226617044,"Landsat4/5 (TM)",2010,10,3
2010-10-08,0.352526172757483,"Landsat4/5 (TM)",2010,10,8
2010-10-13,0.348241026484957,"Landsat4/5 (TM)",2010,10,13
2010-10-18,0.343831783819612,"Landsat4/5 (TM)",2010,10,18
2010-10-23,0.339657440781593,"Landsat4/5 (TM)",2010,10,23
2010-10-28,0.335803190699456,"Landsat4/5 (TM)",2010,10,28
2010-11-02,0.332049641037883,"Landsat4/5 (TM)",2010,11,2
2010-11-07,0.328298909021214,"Landsat4/5 (TM)",2010,11,7
2010-11-12,0.324453111873784,"Landsat4/5 (TM)",2010,11,12
2010-11-17,0.320414366819932,"Landsat4/5 (TM)",2010,11,17
2010-11-22,0.316084791083995,"Landsat4/5 (TM)",2010,11,22
2010-11-27,0.31136650189031,"Landsat4/5 (TM)",2010,11,27
2010-12-02,0.306161616463214,"Landsat4/5 (TM)",2010,12,2
2010-12-07,0.300372252027046,"Landsat4/5 (TM)",2010,12,7
2010-12-12,0.293806460256746,"Landsat4/5 (TM)",2010,12,12
2010-12-17,0.285754453837398,"Landsat4/5 (TM)",2010,12,17
2010-12-22,0.276649691339116,"Landsat4/5 (TM)",2010,12,22
2010-12-27,0.267148340437415,"Landsat4/5 (TM)",2010,12,27
2011-01-01,0.25672837352613,"Landsat4/5 (TM)",2011,1,1
2011-01-06,0.245446266755607,"Landsat4/5 (TM)",2011,1,6
2011-01-11,0.233933830633759,"Landsat4/5 (TM)",2011,1,11
2011-01-16,0.222822875668498,"Landsat4/5 (TM)",2011,1,16
2011-01-21,0.212745212367736,"Landsat4/5 (TM)",2011,1,21
2011-01-26,0.204332651239383,"Landsat4/5 (TM)",2011,1,26
2011-01-31,0.198490493989084,"Landsat4/5 (TM)",2011,1,31
2011-02-05,0.195198923874159,"Landsat4/5 (TM)",2011,2,5
2011-02-10,0.192870551712985,"Landsat4/5 (TM)",2011,2,10
2011-02-15,0.190540102682462,"Landsat4/5 (TM)",2011,2,15
2011-02-20,0.189189212862402,"Landsat4/5 (TM)",2011,2,20
2011-02-25,0.18728742645817,"Landsat4/5 (TM)",2011,2,25
2011-03-02,0.183027607141412,"Landsat4/5 (TM)",2011,3,2
2011-03-07,0.175803691605324,"Landsat4/5 (TM)",2011,3,7
2011-03-12,0.166823689593002,"Landsat4/5 (TM)",2011,3,12
2011-03-17,0.15744238213847,"Landsat4/5 (TM)",2011,3,17
2011-03-22,0.149014550275751,"Landsat4/5 (TM)",2011,3,22
2011-03-27,0.142894975038871,"Landsat4/5 (TM)",2011,3,27
2011-04-01,0.140438437461853,"Landsat4/5 (TM)",2011,4,1
2011-04-06,0.143855369716221,"Landsat4/5 (TM)",2011,4,6
2011-04-11,0.151793492674187,"Landsat4/5 (TM)",2011,4,11
2011-04-16,0.160263520420813,"Landsat4/5 (TM)",2011,4,16
