"date","median_ndvi","landsat","year","month","day"
2010-02-25,0.14226008951664,"Landsat4/5 (TM)",2010,2,25
2010-03-02,0.132023713063745,"Landsat4/5 (TM)",2010,3,2
2010-03-07,0.121138740707466,"Landsat4/5 (TM)",2010,3,7
2010-03-12,0.110177462950787,"Landsat4/5 (TM)",2010,3,12
2010-03-17,0.0997121702966979,"Landsat4/5 (TM)",2010,3,17
2010-03-22,0.0903151532481843,"Landsat4/5 (TM)",2010,3,22
2010-03-27,0.0825587023082335,"Landsat4/5 (TM)",2010,3,27
2010-04-01,0.0770337310195827,"Landsat4/5 (TM)",2010,4,1
2010-04-06,0.0740376305766403,"Landsat4/5 (TM)",2010,4,6
2010-04-11,0.0733491986802619,"Landsat4/5 (TM)",2010,4,11
2010-04-16,0.0750067451226641,"Landsat4/5 (TM)",2010,4,16
2010-04-21,0.0803591274225255,"Landsat4/5 (TM)",2010,4,21
2010-04-26,0.0866992859519087,"Landsat4/5 (TM)",2010,4,26
2010-05-01,0.0905403118631512,"Landsat4/5 (TM)",2010,5,1
2010-05-06,0.0916257728531491,"Landsat4/5 (TM)",2010,5,6
2010-05-11,0.0911581315776857,"Landsat4/5 (TM)",2010,5,11
2010-05-16,0.0896463021636009,"Landsat4/5 (TM)",2010,5,16
2010-05-21,0.0854217787284597,"Landsat4/5 (TM)",2010,5,21
2010-05-26,0.0797880158879707,"Landsat4/5 (TM)",2010,5,26
2010-05-31,0.0777118685161895,"Landsat4/5 (TM)",2010,5,31
2010-06-05,0.081130946162375,"Landsat4/5 (TM)",2010,6,5
2010-06-10,0.0860388514732619,"Landsat4/5 (TM)",2010,6,10
2010-06-15,0.0921996592926461,"Landsat4/5 (TM)",2010,6,15
2010-06-20,0.099533124966939,"Landsat4/5 (TM)",2010,6,20
2010-06-25,0.107959003842552,"Landsat4/5 (TM)",2010,6,25
2010-06-30,0.117397051265897,"Landsat4/5 (TM)",2010,6,30
2010-07-05,0.127767022583384,"Landsat4/5 (TM)",2010,7,5
2010-07-10,0.138988673141426,"Landsat4/5 (TM)",2010,7,10
2010-07-15,0.150981758286434,"Landsat4/5 (TM)",2010,7,15
2010-07-20,0.163666033364819,"Landsat4/5 (TM)",2010,7,20
2010-07-25,0.176961253722993,"Landsat4/5 (TM)",2010,7,25
2010-07-30,0.190787174707367,"Landsat4/5 (TM)",2010,7,30
2010-08-04,0.205063551664352,"Landsat4/5 (TM)",2010,8,4
2010-08-09,0.22171685130143,"Landsat4/5 (TM)",2010,8,9
2010-08-14,0.241934765177373,"Landsat4/5 (TM)",2010,8,14
2010-08-19,0.264528885915524,"Landsat4/5 (TM)",2010,8,19
2010-08-24,0.28831080613923,"Landsat4/5 (TM)",2010,8,24
2010-08-29,0.312092118471835,"Landsat4/5 (TM)",2010,8,29
2010-09-03,0.334684415536685,"Landsat4/5 (TM)",2010,9,3
2010-09-08,0.354899289957125,"Landsat4/5 (TM)",2010,9,8
2010-09-13,0.371548334356501,"Landsat4/5 (TM)",2010,9,13
2010-09-18,0.383443141358157,"Landsat4/5 (TM)",2010,9,18
2010-09-23,0.389283524804341,"Landsat4/5 (TM)",2010,9,23
2010-09-28,0.387877595984719,"Landsat4/5 (TM)",2010,9,28
2010-10-03,0.380750682146754,"Landsat4/5 (TM)",2010,10,3
2010-10-08,0.369868883234631,"Landsat4/5 (TM)",2010,10,8
2010-10-13,0.357198299192533,"Landsat4/5 (TM)",2010,10,13
2010-10-18,0.344705029964644,"Landsat4/5 (TM)",2010,10,18
2010-10-23,0.334355175495148,"Landsat4/5 (TM)",2010,10,23
2010-10-28,0.325648585545625,"Landsat4/5 (TM)",2010,10,28
2010-11-02,0.316800205523679,"Landsat4/5 (TM)",2010,11,2
2010-11-07,0.307848778842527,"Landsat4/5 (TM)",2010,11,7
2010-11-12,0.298833048915387,"Landsat4/5 (TM)",2010,11,12
2010-11-17,0.289791759155479,"Landsat4/5 (TM)",2010,11,17
2010-11-22,0.280763652976021,"Landsat4/5 (TM)",2010,11,22
2010-11-27,0.27178747379023,"Landsat4/5 (TM)",2010,11,27
2010-12-02,0.262901965011326,"Landsat4/5 (TM)",2010,12,2
2010-12-07,0.254145870052526,"Landsat4/5 (TM)",2010,12,7
2010-12-12,0.245558124566742,"Landsat4/5 (TM)",2010,12,12
2010-12-17,0.237167749356559,"Landsat4/5 (TM)",2010,12,17
2010-12-22,0.228980826155748,"Landsat4/5 (TM)",2010,12,22
2010-12-27,0.220987862414859,"Landsat4/5 (TM)",2010,12,27
2011-01-01,0.212824802492832,"Landsat4/5 (TM)",2011,1,1
2011-01-06,0.204518891011958,"Landsat4/5 (TM)",2011,1,6
2011-01-11,0.196333564817906,"Landsat4/5 (TM)",2011,1,11
2011-01-16,0.188532260756347,"Landsat4/5 (TM)",2011,1,16
