date,year,month,day,median_ndvi,landsat
"09-02-2010",2010,2,9,0.138825431466103,Landsat4/5 (TM)
25-02-2010,2010,2,25,0.1758121997118,Landsat4/5 (TM)
29-03-2010,2010,3,29,0.116744995117188,Landsat4/5 (TM)
14-04-2010,2010,4,14,0.115443356335163,Landsat4/5 (TM)
30-04-2010,2010,4,30,0.118875674903393,Landsat4/5 (TM)
16-05-2010,2010,5,16,0.126662984490395,Landsat4/5 (TM)
"01-06-2010",2010,6,1,0.121119230985641,Landsat4/5 (TM)
"04-08-2010",2010,8,4,0.314828217029572,Landsat4/5 (TM)
21-09-2010,2010,9,21,0.369785368442535,Landsat4/5 (TM)
23-10-2010,2010,10,23,0.324686020612717,Landsat4/5 (TM)
10-12-2010,2010,12,10,0.256054669618607,Landsat4/5 (TM)
26-12-2010,2010,12,26,0.232458174228668,Landsat4/5 (TM)
27-01-2011,2011,1,27,0.177380964159966,Landsat4/5 (TM)
12-02-2011,2011,2,12,0.167955756187439,Landsat4/5 (TM)
28-02-2011,2011,2,28,0.157121613621712,Landsat4/5 (TM)
"01-04-2011",2011,4,1,0.108970820903778,Landsat4/5 (TM)
17-04-2011,2011,4,17,0.12418770045042,Landsat4/5 (TM)
