"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-25,0.129380226135254,"Landsat4/5 (TM)",2010,2,25,0.129380226135254,0.129167500596085
2010-03-02,0.127051661803534,"Landsat4/5 (TM)",2010,3,2,0.127051661803534,0.127106204013309
2010-03-07,0.12474211326662,"Landsat4/5 (TM)",2010,3,7,0.12474211326662,0.124927286740857
2010-03-12,0.122434801882036,"Landsat4/5 (TM)",2010,3,12,0.122434801882036,0.122630748778729
2010-03-17,0.120112949007307,"Landsat4/5 (TM)",2010,3,17,0.120112949007307,0.120216590126925
2010-03-22,0.117759775999957,"Landsat4/5 (TM)",2010,3,22,0.117759775999957,0.117743657619069
2010-03-27,0.115358504217511,"Landsat4/5 (TM)",2010,3,27,0.115358504217511,0.114802838817545
2010-04-01,0.11258263842592,"Landsat4/5 (TM)",2010,4,1,0.11258263842592,0.11154217942647
2010-04-06,0.108998019713909,"Landsat4/5 (TM)",2010,4,6,0.108998019713909,0.108910251627656
2010-04-11,0.106402737333156,"Landsat4/5 (TM)",2010,4,11,0.106402737333156,0.108021038606333
2010-04-16,0.106888348167559,"Landsat4/5 (TM)",2010,4,16,0.106888348167559,0.109305236654355
2010-04-21,0.111457612039431,"Landsat4/5 (TM)",2010,4,21,0.111457612039431,0.11201503328292
2010-04-26,0.116767813073239,"Landsat4/5 (TM)",2010,4,26,0.116767813073239,0.114739050216559
2010-05-01,0.118911826876789,"Landsat4/5 (TM)",2010,5,1,0.118911826876789,0.116131714188727
2010-05-06,0.116410625962796,"Landsat4/5 (TM)",2010,5,6,0.116410625962796,0.115632772954003
2010-05-11,0.112224417413926,"Landsat4/5 (TM)",2010,5,11,0.112224417413926,0.113483669858842
2010-05-16,0.109762467443943,"Landsat4/5 (TM)",2010,5,16,0.109762467443943,0.110980321873687
2010-05-21,0.109679076158389,"Landsat4/5 (TM)",2010,5,21,0.109679076158389,0.109648537368044
2010-05-26,0.110683468311891,"Landsat4/5 (TM)",2010,5,26,0.110683468311891,0.110440244396373
2010-05-31,0.113267297091841,"Landsat4/5 (TM)",2010,5,31,0.113267297091841,0.113393906620133
2010-06-05,0.11797015319103,"Landsat4/5 (TM)",2010,6,5,0.11797015319103,0.118286827539499
2010-06-10,0.124985395314651,"Landsat4/5 (TM)",2010,6,10,0.124985395314651,0.125150893832935
2010-06-15,0.134077084195097,"Landsat4/5 (TM)",2010,6,15,0.134077084195097,0.134118505032909
2010-06-20,0.145001381191821,"Landsat4/5 (TM)",2010,6,20,0.145001381191821,0.145002099316634
2010-06-25,0.157514447664276,"Landsat4/5 (TM)",2010,6,25,0.157514447664276,0.157514447664275
2010-06-30,0.171372444971913,"Landsat4/5 (TM)",2010,6,30,0.171372444971913,0.171372444971913
