"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-25,0.229690819978714,"Landsat4/5 (TM)",2010,2,25,0.229690819978714,0.232134995467802
2010-03-02,0.215989196136661,"Landsat4/5 (TM)",2010,3,2,0.215989196136661,0.214786299659187
2010-03-07,0.201326324649926,"Landsat4/5 (TM)",2010,3,7,0.201326324649926,0.199059417637383
2010-03-12,0.186550365204993,"Landsat4/5 (TM)",2010,3,12,0.186550365204993,0.184954349402389
2010-03-17,0.172509477488347,"Landsat4/5 (TM)",2010,3,17,0.172509477488347,0.172471094954206
2010-03-22,0.160051821186471,"Landsat4/5 (TM)",2010,3,22,0.160051821186471,0.160248047706606
2010-03-27,0.150025555985848,"Landsat4/5 (TM)",2010,3,27,0.150025555985848,0.150792612478027
2010-04-01,0.143512733860006,"Landsat4/5 (TM)",2010,4,1,0.143512733860006,0.144390566073005
2010-04-06,0.141237973701209,"Landsat4/5 (TM)",2010,4,6,0.141237973701209,0.14132062754036
2010-04-11,0.141678007569681,"Landsat4/5 (TM)",2010,4,11,0.141678007569681,0.141635298923596
2010-04-16,0.143542632897152,"Landsat4/5 (TM)",2010,4,16,0.143542632897152,0.144629055633381
2010-04-21,0.148376015979011,"Landsat4/5 (TM)",2010,4,21,0.148376015979011,0.148782990826555
2010-04-26,0.153939313488081,"Landsat4/5 (TM)",2010,4,26,0.153939313488081,0.152546500145748
2010-05-01,0.157022967762516,"Landsat4/5 (TM)",2010,5,1,0.157022967762516,0.155114105642713
2010-05-06,0.15673800517358,"Landsat4/5 (TM)",2010,5,6,0.15673800517358,0.156255025537482
2010-05-11,0.155074928465368,"Landsat4/5 (TM)",2010,5,11,0.155074928465368,0.155925881313695
2010-05-16,0.154057696461678,"Landsat4/5 (TM)",2010,5,16,0.154057696461678,0.154717904013822
2010-05-21,0.154063104173456,"Landsat4/5 (TM)",2010,5,21,0.154063104173456,0.153372361572975
2010-05-26,0.15416921817731,"Landsat4/5 (TM)",2010,5,26,0.15416921817731,0.152947755301046
2010-05-31,0.154451904645533,"Landsat4/5 (TM)",2010,5,31,0.154451904645533,0.154374971128966
2010-06-05,0.156967922270969,"Landsat4/5 (TM)",2010,6,5,0.156967922270969,0.158592818540826
2010-06-10,0.165281341234187,"Landsat4/5 (TM)",2010,6,10,0.165281341234187,0.166562133064217
2010-06-15,0.178492936755571,"Landsat4/5 (TM)",2010,6,15,0.178492936755571,0.178938442639346
2010-06-20,0.195572303127105,"Landsat4/5 (TM)",2010,6,20,0.195572303127105,0.19558422866605
2010-06-25,0.21548903464077,"Landsat4/5 (TM)",2010,6,25,0.21548903464077,0.21548903464077
2010-06-30,0.23721272558855,"Landsat4/5 (TM)",2010,6,30,0.23721272558855,0.23721272558855
2010-07-05,0.259712970262428,"Landsat4/5 (TM)",2010,7,5,0.259712970262428,0.259712970262428
2010-07-10,0.281959362954385,"Landsat4/5 (TM)",2010,7,10,0.281959362954385,0.281959362954385
2010-07-15,0.302921497956404,"Landsat4/5 (TM)",2010,7,15,0.302921497956404,0.302921497956404
2010-07-20,0.321568969560468,"Landsat4/5 (TM)",2010,7,20,0.321568969560468,0.321279881819767
2010-07-25,0.336871372058559,"Landsat4/5 (TM)",2010,7,25,0.336871372058559,0.33584364410769
2010-07-30,0.347798299742661,"Landsat4/5 (TM)",2010,7,30,0.347798299742661,0.346258563048241
