"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-25,0.14226008951664,"Landsat4/5 (TM)",2010,2,25,0.14226008951664,0.14383428775473
2010-03-02,0.132023713063745,"Landsat4/5 (TM)",2010,3,2,0.132023713063745,0.131226093692466
2010-03-07,0.121138740707466,"Landsat4/5 (TM)",2010,3,7,0.121138740707466,0.119673182846117
2010-03-12,0.110177462950787,"Landsat4/5 (TM)",2010,3,12,0.110177462950787,0.109175555215684
2010-03-17,0.0997121702966979,"Landsat4/5 (TM)",2010,3,17,0.0997121702966979,0.0997332108011671
2010-03-22,0.0903151532481843,"Landsat4/5 (TM)",2010,3,22,0.0903151532481843,0.0904419730671296
2010-03-27,0.0825587023082335,"Landsat4/5 (TM)",2010,3,27,0.0825587023082335,0.082832742342456
2010-04-01,0.0770337310195827,"Landsat4/5 (TM)",2010,4,1,0.0770337310195827,0.0771813777020756
2010-04-06,0.0740376305766403,"Landsat4/5 (TM)",2010,4,6,0.0740376305766403,0.0740638537047082
2010-04-11,0.0733491986802619,"Landsat4/5 (TM)",2010,4,11,0.0733491986802619,0.0739652275214028
2010-04-16,0.0750067451226641,"Landsat4/5 (TM)",2010,4,16,0.0750067451226641,0.0765478352310405
2010-04-21,0.0803591274225255,"Landsat4/5 (TM)",2010,4,21,0.0803591274225255,0.080745730045989
2010-04-26,0.0866992859519087,"Landsat4/5 (TM)",2010,4,26,0.0866992859519087,0.0853170382238618
2010-05-01,0.0905403118631512,"Landsat4/5 (TM)",2010,5,1,0.0905403118631512,0.0893140987568478
2010-05-06,0.0916257728531491,"Landsat4/5 (TM)",2010,5,6,0.0916257728531491,0.0916249228811096
2010-05-11,0.0911581315776857,"Landsat4/5 (TM)",2010,5,11,0.0911581315776857,0.0910860374809787
2010-05-16,0.0896463021636009,"Landsat4/5 (TM)",2010,5,16,0.0896463021636009,0.0880548934891722
2010-05-21,0.0854217787284597,"Landsat4/5 (TM)",2010,5,21,0.0854217787284597,0.0843536786128908
