"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-09,0.138825431466103,"Landsat4/5 (TM)",2010,2,9,0.138825431466103,0.139234383961132
2010-02-14,0.152616841208328,"Landsat4/5 (TM)",2010,2,14,0.152616841208328,0.1550075829638
2010-02-19,0.166814259071544,"Landsat4/5 (TM)",2010,2,19,0.166814259071544,0.165705492915166
2010-02-24,0.175327563240899,"Landsat4/5 (TM)",2010,2,24,0.175327563240899,0.171328113815228
2010-03-01,0.17409396809548,"Landsat4/5 (TM)",2010,3,1,0.17409396809548,0.171875445663987
2010-03-06,0.165949316158717,"Landsat4/5 (TM)",2010,3,6,0.165949316158717,0.165377773830378
2010-03-11,0.153657884650164,"Landsat4/5 (TM)",2010,3,11,0.153657884650164,0.153742735051536
2010-03-16,0.139915817381431,"Landsat4/5 (TM)",2010,3,16,0.139915817381431,0.140675977182253
2010-03-21,0.127419258164126,"Landsat4/5 (TM)",2010,3,21,0.127419258164126,0.129364244791473
2010-03-26,0.11886435080986,"Landsat4/5 (TM)",2010,3,26,0.11886435080986,0.121206584482126
2010-03-31,0.116312561378842,"Landsat4/5 (TM)",2010,3,31,0.116312561378842,0.116485405483266
2010-04-05,0.11564732403485,"Landsat4/5 (TM)",2010,4,5,0.11564732403485,0.114651151101795
2010-04-10,0.115426275953281,"Landsat4/5 (TM)",2010,4,10,0.115426275953281,0.114665090958599
2010-04-15,0.115476145813379,"Landsat4/5 (TM)",2010,4,15,0.115476145813379,0.115343239608735
2010-04-20,0.116075744475449,"Landsat4/5 (TM)",2010,4,20,0.116075744475449,0.116086555662146
2010-04-25,0.117269079510782,"Landsat4/5 (TM)",2010,4,25,0.117269079510782,0.117399696909599
2010-04-30,0.118875674903393,"Landsat4/5 (TM)",2010,4,30,0.118875674903393,0.119599503293305
2010-05-05,0.121435096940332,"Landsat4/5 (TM)",2010,5,5,0.121435096940332,0.12222980945503
2010-05-10,0.124527758176555,"Landsat4/5 (TM)",2010,5,10,0.124527758176555,0.123950165496613
