"date","median_ndvi","landsat","year","month","day"
2010-02-01,0.25140243768692,"Landsat7 (ETM+)",2010,2,1
2010-02-06,0.243446843898945,"Landsat7 (ETM+)",2010,2,6
2010-02-11,0.235226355226553,"Landsat7 (ETM+)",2010,2,11
2010-02-16,0.226861378435387,"Landsat7 (ETM+)",2010,2,16
2010-02-21,0.218472320291093,"Landsat7 (ETM+)",2010,2,21
2010-02-26,0.210179587559314,"Landsat7 (ETM+)",2010,2,26
2010-03-03,0.202103587005695,"Landsat7 (ETM+)",2010,3,3
2010-03-08,0.19436472539588,"Landsat7 (ETM+)",2010,3,8
2010-03-13,0.187083409495513,"Landsat7 (ETM+)",2010,3,13
2010-03-18,0.18038004607024,"Landsat7 (ETM+)",2010,3,18
2010-03-23,0.174379256738272,"Landsat7 (ETM+)",2010,3,23
2010-03-28,0.169311899389868,"Landsat7 (ETM+)",2010,3,28
2010-04-02,0.165513504762203,"Landsat7 (ETM+)",2010,4,2
2010-04-07,0.16335163466465,"Landsat7 (ETM+)",2010,4,7
2010-04-12,0.163587964125327,"Landsat7 (ETM+)",2010,4,12
2010-04-17,0.165101473894538,"Landsat7 (ETM+)",2010,4,17
2010-04-22,0.166088342666626,"Landsat7 (ETM+)",2010,4,22
2010-04-27,0.165679519718651,"Landsat7 (ETM+)",2010,4,27
2010-05-02,0.164804691557947,"Landsat7 (ETM+)",2010,5,2
2010-05-07,0.164358142724267,"Landsat7 (ETM+)",2010,5,7
2010-05-12,0.165203226206358,"Landsat7 (ETM+)",2010,5,12
2010-05-17,0.16694790672318,"Landsat7 (ETM+)",2010,5,17
2010-05-22,0.168235696073679,"Landsat7 (ETM+)",2010,5,22
2010-05-27,0.167640681274178,"Landsat7 (ETM+)",2010,5,27
2010-06-01,0.165154271254626,"Landsat7 (ETM+)",2010,6,1
2010-06-06,0.163014403121224,"Landsat7 (ETM+)",2010,6,6
2010-06-11,0.163265920278861,"Landsat7 (ETM+)",2010,6,11
2010-06-16,0.164552834072764,"Landsat7 (ETM+)",2010,6,16
2010-06-21,0.166277207435996,"Landsat7 (ETM+)",2010,6,21
2010-06-26,0.168412410320268,"Landsat7 (ETM+)",2010,6,26
2010-07-01,0.170931812677289,"Landsat7 (ETM+)",2010,7,1
2010-07-06,0.173808784458771,"Landsat7 (ETM+)",2010,7,6
2010-07-11,0.177016695616422,"Landsat7 (ETM+)",2010,7,11
2010-07-16,0.180528916101952,"Landsat7 (ETM+)",2010,7,16
2010-07-21,0.184318815867072,"Landsat7 (ETM+)",2010,7,21
2010-07-26,0.188359764863493,"Landsat7 (ETM+)",2010,7,26
2010-07-31,0.192625133042922,"Landsat7 (ETM+)",2010,7,31
2010-08-05,0.197088290357072,"Landsat7 (ETM+)",2010,8,5
2010-08-10,0.201722606757652,"Landsat7 (ETM+)",2010,8,10
2010-08-15,0.206501452196371,"Landsat7 (ETM+)",2010,8,15
2010-08-20,0.211398196624941,"Landsat7 (ETM+)",2010,8,20
2010-08-25,0.21638620999507,"Landsat7 (ETM+)",2010,8,25
2010-08-30,0.22143886225847,"Landsat7 (ETM+)",2010,8,30
2010-09-04,0.226529523366849,"Landsat7 (ETM+)",2010,9,4
2010-09-09,0.231631563271919,"Landsat7 (ETM+)",2010,9,9
2010-09-14,0.236718351925389,"Landsat7 (ETM+)",2010,9,14
2010-09-19,0.241763259278968,"Landsat7 (ETM+)",2010,9,19
2010-09-24,0.246739655284368,"Landsat7 (ETM+)",2010,9,24
2010-09-29,0.251620909893299,"Landsat7 (ETM+)",2010,9,29
2010-10-04,0.256380393057469,"Landsat7 (ETM+)",2010,10,4
2010-10-09,0.26099147472859,"Landsat7 (ETM+)",2010,10,9
2010-10-14,0.265427524858371,"Landsat7 (ETM+)",2010,10,14
2010-10-19,0.269661913398522,"Landsat7 (ETM+)",2010,10,19
2010-10-24,0.273668010300754,"Landsat7 (ETM+)",2010,10,24
2010-10-29,0.277419185516776,"Landsat7 (ETM+)",2010,10,29
2010-11-03,0.280888808998298,"Landsat7 (ETM+)",2010,11,3
2010-11-08,0.284050250697031,"Landsat7 (ETM+)",2010,11,8
2010-11-13,0.286876880564685,"Landsat7 (ETM+)",2010,11,13
2010-11-18,0.289342068552969,"Landsat7 (ETM+)",2010,11,18
2010-11-23,0.291419184613593,"Landsat7 (ETM+)",2010,11,23
2010-11-28,0.293081598698269,"Landsat7 (ETM+)",2010,11,28
2010-12-03,0.294302680758705,"Landsat7 (ETM+)",2010,12,3
2010-12-08,0.295055800746611,"Landsat7 (ETM+)",2010,12,8
2010-12-13,0.295314328613698,"Landsat7 (ETM+)",2010,12,13
2010-12-18,0.295051634311676,"Landsat7 (ETM+)",2010,12,18
2010-12-23,0.2940590533539,"Landsat7 (ETM+)",2010,12,23
2010-12-28,0.290724716969635,"Landsat7 (ETM+)",2010,12,28
2011-01-02,0.282917188684451,"Landsat7 (ETM+)",2011,1,2
2011-01-07,0.266790890193079,"Landsat7 (ETM+)",2011,1,7
2011-01-12,0.243364003942588,"Landsat7 (ETM+)",2011,1,12
2011-01-17,0.222695125405152,"Landsat7 (ETM+)",2011,1,17
2011-01-22,0.213830123879233,"Landsat7 (ETM+)",2011,1,22
2011-01-27,0.214599385857582,"Landsat7 (ETM+)",2011,1,27
2011-02-01,0.217665094309268,"Landsat7 (ETM+)",2011,2,1
2011-02-06,0.216355161508546,"Landsat7 (ETM+)",2011,2,6
2011-02-11,0.211642429413298,"Landsat7 (ETM+)",2011,2,11
2011-02-16,0.205393286305513,"Landsat7 (ETM+)",2011,2,16
2011-02-21,0.198624746077308,"Landsat7 (ETM+)",2011,2,21
2011-02-26,0.192353822620798,"Landsat7 (ETM+)",2011,2,26
2011-03-03,0.187597529828097,"Landsat7 (ETM+)",2011,3,3
2011-03-08,0.18537288159132,"Landsat7 (ETM+)",2011,3,8
2011-03-13,0.184836386656256,"Landsat7 (ETM+)",2011,3,13
2011-03-18,0.184466119452456,"Landsat7 (ETM+)",2011,3,18
2011-03-23,0.18426144239768,"Landsat7 (ETM+)",2011,3,23
2011-03-28,0.184221717909688,"Landsat7 (ETM+)",2011,3,28
2011-04-02,0.184346308406239,"Landsat7 (ETM+)",2011,4,2
2011-04-07,0.184634576305094,"Landsat7 (ETM+)",2011,4,7
2011-04-12,0.185085884024013,"Landsat7 (ETM+)",2011,4,12
2011-04-17,0.185699593980756,"Landsat7 (ETM+)",2011,4,17
2011-04-22,0.186475068593082,"Landsat7 (ETM+)",2011,4,22
2011-04-27,0.187411670278752,"Landsat7 (ETM+)",2011,4,27
2011-05-02,0.188508761455525,"Landsat7 (ETM+)",2011,5,2
2011-05-07,0.189765704541162,"Landsat7 (ETM+)",2011,5,7
2011-05-12,0.191181861953423,"Landsat7 (ETM+)",2011,5,12
2011-05-17,0.192756596110067,"Landsat7 (ETM+)",2011,5,17
2011-05-22,0.194489269428854,"Landsat7 (ETM+)",2011,5,22
2011-05-27,0.196379244327545,"Landsat7 (ETM+)",2011,5,27
2011-06-01,0.204223241035335,"Landsat7 (ETM+)",2011,6,1
2011-06-06,0.219466120727684,"Landsat7 (ETM+)",2011,6,6
2011-06-11,0.235579457241745,"Landsat7 (ETM+)",2011,6,11
