date,year,month,day,median_ndvi,landsat
"09-02-2010",2010,2,9,nan,Landsat4/5 (TM)
25-02-2010,2010,2,25,0.129380226135254,Landsat4/5 (TM)
29-03-2010,2010,3,29,0.114380769431591,Landsat4/5 (TM)
14-04-2010,2010,4,14,0.106147971004248,Landsat4/5 (TM)
30-04-2010,2010,4,30,0.118909850716591,Landsat4/5 (TM)
16-05-2010,2010,5,16,0.109762467443943,Landsat4/5 (TM)
"01-06-2010",2010,6,1,0.114016860723495,Landsat4/5 (TM)
"04-08-2010",2010,8,4,nan,Landsat4/5 (TM)
"05-09-2010",2010,9,5,nan,Landsat4/5 (TM)
21-09-2010,2010,9,21,0.377039015293121,Landsat4/5 (TM)
23-10-2010,2010,10,23,0.290769517421722,Landsat4/5 (TM)
10-12-2010,2010,12,10,0.151755206286907,Landsat4/5 (TM)
26-12-2010,2010,12,26,0.143245160579681,Landsat4/5 (TM)
27-01-2011,2011,1,27,0.115447193384171,Landsat4/5 (TM)
12-02-2011,2011,2,12,0.11055002361536,Landsat4/5 (TM)
28-02-2011,2011,2,28,0.102109402418137,Landsat4/5 (TM)
"01-04-2011",2011,4,1,0.100156538188457,Landsat4/5 (TM)
17-04-2011,2011,4,17,0.106854595243931,Landsat4/5 (TM)
"01-02-2010",2010,2,1,0.150401294231415,Landsat7 (ETM+)
21-03-2010,2010,3,21,0.122303277254105,Landsat7 (ETM+)
"06-04-2010",2010,4,6,0.12109936773777,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.123220354318619,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.120101593434811,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.128439724445343,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.122515149414539,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.165181681513786,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.142593465745449,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.113240696489811,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.115039277821779,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.104466713964939,Landsat7 (ETM+)
27-05-2011,2011,5,27,0.138588085770607,Landsat7 (ETM+)
12-06-2011,2011,6,12,0.150158852338791,Landsat7 (ETM+)
