date,year,month,day,median_ndvi,landsat
"01-02-2010",2010,2,1,0.25140243768692,Landsat7 (ETM+)
21-03-2010,2010,3,21,0.176685534417629,Landsat7 (ETM+)
"06-04-2010",2010,4,6,0.163616366684437,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.166088342666626,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.164398923516273,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.168316081166267,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.162879608571529,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.295051634311676,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.280631333589554,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.217495426535606,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.217582248151302,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.18537288159132,Landsat7 (ETM+)
27-05-2011,2011,5,27,0.196379244327545,Landsat7 (ETM+)
12-06-2011,2011,6,12,0.238332077860832,Landsat7 (ETM+)
