date,year,month,day,median_ndvi,landsat
"01-02-2010",2010,2,1,0.187682963907719,Landsat7 (ETM+)
21-03-2010,2010,3,21,0.106391616165638,Landsat7 (ETM+)
"06-04-2010",2010,4,6,0.0876301303505898,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.0915718600153923,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.0970155671238899,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.0934973508119583,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.0980779901146889,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.251421168446541,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.230869457125664,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.20812226831913,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.191429242491722,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.142279282212257,Landsat7 (ETM+)
27-05-2011,2011,5,27,0.154539003968239,Landsat7 (ETM+)
12-06-2011,2011,6,12,0.185365319252014,Landsat7 (ETM+)
