date,year,month,day,median_ndvi,landsat
"01-02-2010",2010,2,1,0.207102075219154,Landsat7 (ETM+)
21-03-2010,2010,3,21,0.140185534954071,Landsat7 (ETM+)
"06-04-2010",2010,4,6,0.127978548407555,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.131383493542671,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.137937679886818,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.138113096356392,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.13816149532795,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.260284230113029,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.241820767521858,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.201587378978729,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.193738803267479,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.157222956418991,Landsat7 (ETM+)
27-05-2011,2011,5,27,0.168698608875275,Landsat7 (ETM+)
12-06-2011,2011,6,12,0.191132158041,Landsat7 (ETM+)
