"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.157519817352295,"Landsat7 (ETM+)",2010,2,1,0.157519817352295,0.158073545111722
2010-02-06,0.153297447509227,"Landsat7 (ETM+)",2010,2,6,0.153297447509227,0.153020583629513
2010-02-11,0.14864000585518,"Landsat7 (ETM+)",2010,2,11,0.14864000585518,0.14812583007857
2010-02-16,0.143745252304237,"Landsat7 (ETM+)",2010,2,16,0.143745252304237,0.143389284458891
2010-02-21,0.138810946770477,"Landsat7 (ETM+)",2010,2,21,0.138810946770477,0.138810946770477
2010-02-26,0.134034849167981,"Landsat7 (ETM+)",2010,2,26,0.134034849167981,0.134034849167981
2010-03-03,0.129614719410832,"Landsat7 (ETM+)",2010,3,3,0.129614719410832,0.129620500809361
2010-03-08,0.12574831741311,"Landsat7 (ETM+)",2010,3,8,0.12574831741311,0.125825045897992
2010-03-13,0.122633403088896,"Landsat7 (ETM+)",2010,3,13,0.122633403088896,0.122834443253001
2010-03-18,0.120467736352271,"Landsat7 (ETM+)",2010,3,18,0.120467736352271,0.120714956934312
2010-03-23,0.119385481733501,"Landsat7 (ETM+)",2010,3,23,0.119385481733501,0.119376332218296
2010-03-28,0.118888775041865,"Landsat7 (ETM+)",2010,3,28,0.118888775041865,0.118719847211455
2010-04-02,0.118723333119954,"Landsat7 (ETM+)",2010,4,2,0.118723333119954,0.118654569753391
2010-04-07,0.118776603905466,"Landsat7 (ETM+)",2010,4,7,0.118776603905466,0.119063337422361
2010-04-12,0.119400704671969,"Landsat7 (ETM+)",2010,4,12,0.119400704671969,0.119634029848028
2010-04-17,0.120301006511388,"Landsat7 (ETM+)",2010,4,17,0.120301006511388,0.119998682035583
2010-04-22,0.120834462344646,"Landsat7 (ETM+)",2010,4,22,0.120834462344646,0.119899298020064
2010-04-27,0.120216426709248,"Landsat7 (ETM+)",2010,4,27,0.120216426709248,0.11956284639765
2010-05-02,0.119166827356821,"Landsat7 (ETM+)",2010,5,2,0.119166827356821,0.119622617132145
2010-05-07,0.119299477029472,"Landsat7 (ETM+)",2010,5,7,0.119299477029472,0.120752795495737
2010-05-12,0.122116462681264,"Landsat7 (ETM+)",2010,5,12,0.122116462681264,0.123068164197647
2010-05-17,0.126912943851984,"Landsat7 (ETM+)",2010,5,17,0.126912943851984,0.126414496126054
2010-05-22,0.131454459114489,"Landsat7 (ETM+)",2010,5,22,0.131454459114489,0.130257248738971
2010-05-27,0.134182869659851,"Landsat7 (ETM+)",2010,5,27,0.134182869659851,0.133908146375034
2010-06-01,0.136661557545127,"Landsat7 (ETM+)",2010,6,1,0.136661557545127,0.136901794793754
2010-06-06,0.139133752749331,"Landsat7 (ETM+)",2010,6,6,0.139133752749331,0.139329224011118
2010-06-11,0.141593675710994,"Landsat7 (ETM+)",2010,6,11,0.141593675710994,0.141616312941947
2010-06-16,0.144035546868647,"Landsat7 (ETM+)",2010,6,16,0.144035546868647,0.144035546868647
