"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.25140243768692,"Landsat7 (ETM+)",2010,2,1,0.25140243768692,0.251739576630724
2010-02-06,0.243446843898945,"Landsat7 (ETM+)",2010,2,6,0.243446843898945,0.243278274427043
2010-02-11,0.235226355226553,"Landsat7 (ETM+)",2010,2,11,0.235226355226553,0.234913297635878
2010-02-16,0.226861378435387,"Landsat7 (ETM+)",2010,2,16,0.226861378435387,0.226644646257227
2010-02-21,0.218472320291093,"Landsat7 (ETM+)",2010,2,21,0.218472320291093,0.218472320291093
2010-02-26,0.210179587559314,"Landsat7 (ETM+)",2010,2,26,0.210179587559314,0.210179587559314
2010-03-03,0.202103587005695,"Landsat7 (ETM+)",2010,3,3,0.202103587005695,0.202103203837279
2010-03-08,0.19436472539588,"Landsat7 (ETM+)",2010,3,8,0.19436472539588,0.194353790324916
2010-03-13,0.187083409495513,"Landsat7 (ETM+)",2010,3,13,0.187083409495513,0.18703960266922
2010-03-18,0.18038004607024,"Landsat7 (ETM+)",2010,3,18,0.18038004607024,0.180291249694632
2010-03-23,0.174379256738272,"Landsat7 (ETM+)",2010,3,23,0.174379256738272,0.174249036041345
2010-03-28,0.169311899389868,"Landsat7 (ETM+)",2010,3,28,0.169311899389868,0.169306302074812
2010-04-02,0.165513504762203,"Landsat7 (ETM+)",2010,4,2,0.165513504762203,0.165930665444573
2010-04-07,0.16335163466465,"Landsat7 (ETM+)",2010,4,7,0.16335163466465,0.164288497114003
2010-04-12,0.163587964125327,"Landsat7 (ETM+)",2010,4,12,0.163587964125327,0.164015786790534
2010-04-17,0.165101473894538,"Landsat7 (ETM+)",2010,4,17,0.165101473894538,0.16447232212804
2010-04-22,0.166088342666626,"Landsat7 (ETM+)",2010,4,22,0.166088342666626,0.164985216351497
2010-04-27,0.165679519718651,"Landsat7 (ETM+)",2010,4,27,0.165679519718651,0.16519059244658
2010-05-02,0.164804691557947,"Landsat7 (ETM+)",2010,5,2,0.164804691557947,0.165135394910614
2010-05-07,0.164358142724267,"Landsat7 (ETM+)",2010,5,7,0.164358142724267,0.165294280930982
2010-05-12,0.165203226206358,"Landsat7 (ETM+)",2010,5,12,0.165203226206358,0.165958788119151
2010-05-17,0.16694790672318,"Landsat7 (ETM+)",2010,5,17,0.16694790672318,0.166755132188171
2010-05-22,0.168235696073679,"Landsat7 (ETM+)",2010,5,22,0.168235696073679,0.166975606123146
2010-05-27,0.167640681274178,"Landsat7 (ETM+)",2010,5,27,0.167640681274178,0.16646677944975
2010-06-01,0.165154271254626,"Landsat7 (ETM+)",2010,6,1,0.165154271254626,0.165402427981721
2010-06-06,0.163014403121224,"Landsat7 (ETM+)",2010,6,6,0.163014403121224,0.164280091847248
2010-06-11,0.163265920278861,"Landsat7 (ETM+)",2010,6,11,0.163265920278861,0.163763521092703
2010-06-16,0.164552834072764,"Landsat7 (ETM+)",2010,6,16,0.164552834072764,0.164347871107223
2010-06-21,0.166277207435996,"Landsat7 (ETM+)",2010,6,21,0.166277207435996,0.1660351703163
2010-06-26,0.168412410320268,"Landsat7 (ETM+)",2010,6,26,0.168412410320268,0.168360473318573
2010-07-01,0.170931812677289,"Landsat7 (ETM+)",2010,7,1,0.170931812677289,0.17093181267729
2010-07-06,0.173808784458771,"Landsat7 (ETM+)",2010,7,6,0.173808784458771,0.173808784458771
2010-07-11,0.177016695616422,"Landsat7 (ETM+)",2010,7,11,0.177016695616422,0.177016695616422
2010-07-16,0.180528916101952,"Landsat7 (ETM+)",2010,7,16,0.180528916101952,0.180528916101952
2010-07-21,0.184318815867072,"Landsat7 (ETM+)",2010,7,21,0.184318815867072,0.184318815867072
2010-07-26,0.188359764863493,"Landsat7 (ETM+)",2010,7,26,0.188359764863493,0.188359764863492
2010-07-31,0.192625133042922,"Landsat7 (ETM+)",2010,7,31,0.192625133042922,0.192625133042922
2010-08-05,0.197088290357072,"Landsat7 (ETM+)",2010,8,5,0.197088290357072,0.197088290357072
2010-08-10,0.201722606757652,"Landsat7 (ETM+)",2010,8,10,0.201722606757652,0.201722606757652
2010-08-15,0.206501452196371,"Landsat7 (ETM+)",2010,8,15,0.206501452196371,0.206501452196371
2010-08-20,0.211398196624941,"Landsat7 (ETM+)",2010,8,20,0.211398196624941,0.211398196624941
2010-08-25,0.21638620999507,"Landsat7 (ETM+)",2010,8,25,0.21638620999507,0.21638620999507
2010-08-30,0.22143886225847,"Landsat7 (ETM+)",2010,8,30,0.22143886225847,0.22143886225847
2010-09-04,0.226529523366849,"Landsat7 (ETM+)",2010,9,4,0.226529523366849,0.226529523366849
2010-09-09,0.231631563271919,"Landsat7 (ETM+)",2010,9,9,0.231631563271919,0.231631563271919
2010-09-14,0.236718351925389,"Landsat7 (ETM+)",2010,9,14,0.236718351925389,0.236718351925389
2010-09-19,0.241763259278968,"Landsat7 (ETM+)",2010,9,19,0.241763259278968,0.241763259278968
2010-09-24,0.246739655284368,"Landsat7 (ETM+)",2010,9,24,0.246739655284368,0.246739655284368
2010-09-29,0.251620909893299,"Landsat7 (ETM+)",2010,9,29,0.251620909893299,0.251620909893299
2010-10-04,0.256380393057469,"Landsat7 (ETM+)",2010,10,4,0.256380393057469,0.256380393057469
2010-10-09,0.26099147472859,"Landsat7 (ETM+)",2010,10,9,0.26099147472859,0.26099147472859
2010-10-14,0.265427524858371,"Landsat7 (ETM+)",2010,10,14,0.265427524858371,0.265427524858371
2010-10-19,0.269661913398522,"Landsat7 (ETM+)",2010,10,19,0.269661913398522,0.269661913398522
2010-10-24,0.273668010300754,"Landsat7 (ETM+)",2010,10,24,0.273668010300754,0.273668010300754
2010-10-29,0.277419185516776,"Landsat7 (ETM+)",2010,10,29,0.277419185516776,0.277419185516776
2010-11-03,0.280888808998298,"Landsat7 (ETM+)",2010,11,3,0.280888808998298,0.280888808998298
2010-11-08,0.284050250697031,"Landsat7 (ETM+)",2010,11,8,0.284050250697031,0.284050250697031
2010-11-13,0.286876880564685,"Landsat7 (ETM+)",2010,11,13,0.286876880564685,0.286876880564685
2010-11-18,0.289342068552969,"Landsat7 (ETM+)",2010,11,18,0.289342068552969,0.289342068552969
2010-11-23,0.291419184613593,"Landsat7 (ETM+)",2010,11,23,0.291419184613593,0.291419184613594
2010-11-28,0.293081598698269,"Landsat7 (ETM+)",2010,11,28,0.293081598698269,0.293081598698269
2010-12-03,0.294302680758705,"Landsat7 (ETM+)",2010,12,3,0.294302680758705,0.29431922934401
2010-12-08,0.295055800746611,"Landsat7 (ETM+)",2010,12,8,0.295055800746611,0.295238526723454
2010-12-13,0.295314328613698,"Landsat7 (ETM+)",2010,12,13,0.295314328613698,0.29587739866597
2010-12-18,0.295051634311676,"Landsat7 (ETM+)",2010,12,18,0.295051634311676,0.296118637000254
2010-12-23,0.2940590533539,"Landsat7 (ETM+)",2010,12,23,0.2940590533539,0.294836751455096
2010-12-28,0.290724716969635,"Landsat7 (ETM+)",2010,12,28,0.290724716969635,0.28956736378167
2011-01-02,0.282917188684451,"Landsat7 (ETM+)",2011,1,2,0.282917188684451,0.278415053192278
2011-01-07,0.266790890193079,"Landsat7 (ETM+)",2011,1,7,0.266790890193079,0.262298691920251
2011-01-12,0.243364003942588,"Landsat7 (ETM+)",2011,1,12,0.243364003942588,0.244554963651755
2011-01-17,0.222695125405152,"Landsat7 (ETM+)",2011,1,17,0.222695125405152,0.229269223294928
2011-01-22,0.213830123879233,"Landsat7 (ETM+)",2011,1,22,0.213830123879233,0.218997006461709
2011-01-27,0.214599385857582,"Landsat7 (ETM+)",2011,1,27,0.214599385857582,0.214455796960704
2011-02-01,0.217665094309268,"Landsat7 (ETM+)",2011,2,1,0.217665094309268,0.213933721705446
2011-02-06,0.216355161508546,"Landsat7 (ETM+)",2011,2,6,0.216355161508546,0.213790542403594
2011-02-11,0.211642429413298,"Landsat7 (ETM+)",2011,2,11,0.211642429413298,0.211099512914561
2011-02-16,0.205393286305513,"Landsat7 (ETM+)",2011,2,16,0.205393286305513,0.205569441000254
2011-02-21,0.198624746077308,"Landsat7 (ETM+)",2011,2,21,0.198624746077308,0.198871098762418
2011-02-26,0.192353822620798,"Landsat7 (ETM+)",2011,2,26,0.192353822620798,0.192979287906009
2011-03-03,0.187597529828097,"Landsat7 (ETM+)",2011,3,3,0.187597529828097,0.18859104258226
2011-03-08,0.18537288159132,"Landsat7 (ETM+)",2011,3,8,0.18537288159132,0.18581342335511
2011-03-13,0.184836386656256,"Landsat7 (ETM+)",2011,3,13,0.184836386656256,0.184453758481215
2011-03-18,0.184466119452456,"Landsat7 (ETM+)",2011,3,18,0.184466119452456,0.184066798939323
2011-03-23,0.18426144239768,"Landsat7 (ETM+)",2011,3,23,0.18426144239768,0.184123143489661
2011-03-28,0.184221717909688,"Landsat7 (ETM+)",2011,3,28,0.184221717909688,0.184221717909688
2011-04-02,0.184346308406239,"Landsat7 (ETM+)",2011,4,2,0.184346308406239,0.184346308406239
2011-04-07,0.184634576305094,"Landsat7 (ETM+)",2011,4,7,0.184634576305094,0.184634576305094
2011-04-12,0.185085884024013,"Landsat7 (ETM+)",2011,4,12,0.185085884024013,0.185085884024013
2011-04-17,0.185699593980756,"Landsat7 (ETM+)",2011,4,17,0.185699593980756,0.185699593980756
2011-04-22,0.186475068593082,"Landsat7 (ETM+)",2011,4,22,0.186475068593082,0.186475068593082
2011-04-27,0.187411670278752,"Landsat7 (ETM+)",2011,4,27,0.187411670278752,0.187411670278752
2011-05-02,0.188508761455525,"Landsat7 (ETM+)",2011,5,2,0.188508761455525,0.188508761455525
2011-05-07,0.189765704541162,"Landsat7 (ETM+)",2011,5,7,0.189765704541162,0.189765704541162
