"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.187682963907719,"Landsat7 (ETM+)",2010,2,1,0.187682963907719,0.187920388267635
2010-02-06,0.179093576524153,"Landsat7 (ETM+)",2010,2,6,0.179093576524153,0.178974864344195
2010-02-11,0.170317641429224,"Landsat7 (ETM+)",2010,2,11,0.170317641429224,0.17009717595216
2010-02-16,0.161439953037189,"Landsat7 (ETM+)",2010,2,16,0.161439953037189,0.161287323091529
2010-02-21,0.152545305762302,"Landsat7 (ETM+)",2010,2,21,0.152545305762302,0.152545305762302
2010-02-26,0.14371849401882,"Landsat7 (ETM+)",2010,2,26,0.14371849401882,0.14371849401882
2010-03-03,0.135044312220998,"Landsat7 (ETM+)",2010,3,3,0.135044312220998,0.135051349768216
2010-03-08,0.126607554783092,"Landsat7 (ETM+)",2010,3,8,0.126607554783092,0.126652528027226
2010-03-13,0.118493016119357,"Landsat7 (ETM+)",2010,3,13,0.118493016119357,0.118485392959632
2010-03-18,0.110785490644048,"Landsat7 (ETM+)",2010,3,18,0.110785490644048,0.110510476037024
2010-03-23,0.10349235975203,"Landsat7 (ETM+)",2010,3,23,0.10349235975203,0.102892558737133
2010-03-28,0.0963843425506639,"Landsat7 (ETM+)",2010,3,28,0.0963843425506639,0.0962418145166428
2010-04-02,0.09052881563548,"Landsat7 (ETM+)",2010,4,2,0.09052881563548,0.0913144458458802
2010-04-07,0.0872501758149156,"Landsat7 (ETM+)",2010,4,7,0.0872501758149156,0.0885051564102566
2010-04-12,0.0873794409417315,"Landsat7 (ETM+)",2010,4,12,0.0873794409417315,0.0877822862385625
2010-04-17,0.0894670127800055,"Landsat7 (ETM+)",2010,4,17,0.0894670127800055,0.0888990400010844
2010-04-22,0.0915718600153923,"Landsat7 (ETM+)",2010,4,22,0.0915718600153923,0.0911901728740505
2010-04-27,0.0934629394569129,"Landsat7 (ETM+)",2010,4,27,0.0934629394569129,0.0936697994402848
2010-05-02,0.0955645629655919,"Landsat7 (ETM+)",2010,5,2,0.0955645629655919,0.0954019893523571
2010-05-07,0.0969187318050899,"Landsat7 (ETM+)",2010,5,7,0.0969187318050899,0.0960497964036436
2010-05-12,0.0965763313579373,"Landsat7 (ETM+)",2010,5,12,0.0965763313579373,0.0958652137398582
2010-05-17,0.0949584646250514,"Landsat7 (ETM+)",2010,5,17,0.0949584646250514,0.095158865210493
2010-05-22,0.0936108481037081,"Landsat7 (ETM+)",2010,5,22,0.0936108481037081,0.0943479314565804
2010-05-27,0.093737900248243,"Landsat7 (ETM+)",2010,5,27,0.093737900248243,0.0940767577766679
2010-06-01,0.0947691195566828,"Landsat7 (ETM+)",2010,6,1,0.0947691195566828,0.0948149641307887
2010-06-06,0.0965960817609357,"Landsat7 (ETM+)",2010,6,6,0.0965960817609357,0.0965994475575515
2010-06-11,0.0991950346725575,"Landsat7 (ETM+)",2010,6,11,0.0991950346725575,0.0991476173222867
2010-06-16,0.102259827974795,"Landsat7 (ETM+)",2010,6,16,0.102259827974795,0.102186755521483
2010-06-21,0.105692330203965,"Landsat7 (ETM+)",2010,6,21,0.105692330203965,0.105651683489536
