"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.207102075219154,"Landsat7 (ETM+)",2010,2,1,0.207102075219154,0.207389712296491
2010-02-06,0.199984359485286,"Landsat7 (ETM+)",2010,2,6,0.199984359485286,0.199840540946617
2010-02-11,0.192640643190653,"Landsat7 (ETM+)",2010,2,11,0.192640643190653,0.19237355161884
2010-02-16,0.185173653862875,"Landsat7 (ETM+)",2010,2,16,0.185173653862875,0.184988744313159
2010-02-21,0.177686119029574,"Landsat7 (ETM+)",2010,2,21,0.177686119029574,0.177686119029574
2010-02-26,0.170280766218369,"Landsat7 (ETM+)",2010,2,26,0.170280766218369,0.170280766218369
2010-03-03,0.16306032295688,"Landsat7 (ETM+)",2010,3,3,0.16306032295688,0.16306145812087
2010-03-08,0.156127516772728,"Landsat7 (ETM+)",2010,3,8,0.156127516772728,0.156128726393101
2010-03-13,0.149585075193533,"Landsat7 (ETM+)",2010,3,13,0.149585075193533,0.149552347792248
2010-03-18,0.143535725746915,"Landsat7 (ETM+)",2010,3,18,0.143535725746915,0.143418421320309
2010-03-23,0.138069709156601,"Landsat7 (ETM+)",2010,3,23,0.138069709156601,0.137879525293428
2010-03-28,0.133305583001857,"Landsat7 (ETM+)",2010,3,28,0.133305583001857,0.133294826686407
2010-04-02,0.129695896874182,"Landsat7 (ETM+)",2010,4,2,0.129695896874182,0.130078584400993
2010-04-07,0.127756796535323,"Landsat7 (ETM+)",2010,4,7,0.127756796535323,0.128381308086443
2010-04-12,0.127973556416691,"Landsat7 (ETM+)",2010,4,12,0.127973556416691,0.128157345072745
2010-04-17,0.129562786549286,"Landsat7 (ETM+)",2010,4,17,0.129562786549286,0.129312103772575
2010-04-22,0.131383493542671,"Landsat7 (ETM+)",2010,4,22,0.131383493542671,0.131439208420308
2010-04-27,0.133603824520101,"Landsat7 (ETM+)",2010,4,27,0.133603824520101,0.133783154234717
2010-05-02,0.136224506791694,"Landsat7 (ETM+)",2010,5,2,0.136224506791694,0.135769953187449
2010-05-07,0.137853417247306,"Landsat7 (ETM+)",2010,5,7,0.137853417247306,0.137193553452284
2010-05-12,0.138039028352346,"Landsat7 (ETM+)",2010,5,12,0.138039028352346,0.138049058030273
2010-05-17,0.138098306862562,"Landsat7 (ETM+)",2010,5,17,0.138098306862562,0.138341617492568
2010-05-22,0.138112702227158,"Landsat7 (ETM+)",2010,5,22,0.138112702227158,0.138245590465439
2010-05-27,0.138113476907529,"Landsat7 (ETM+)",2010,5,27,0.138113476907529,0.138083518201648
2010-06-01,0.138119208431156,"Landsat7 (ETM+)",2010,6,1,0.138119208431156,0.138030155888917
2010-06-06,0.138139070744638,"Landsat7 (ETM+)",2010,6,6,0.138139070744638,0.138066433819336
2010-06-11,0.138224084823285,"Landsat7 (ETM+)",2010,6,11,0.138224084823285,0.138307259728052
2010-06-16,0.138759293212323,"Landsat7 (ETM+)",2010,6,16,0.138759293212323,0.138873896003662
2010-06-21,0.139810779091985,"Landsat7 (ETM+)",2010,6,21,0.139810779091985,0.139869183941288
2010-06-26,0.141347577449303,"Landsat7 (ETM+)",2010,6,26,0.141347577449303,0.141356400012321
2010-07-01,0.143338723271308,"Landsat7 (ETM+)",2010,7,1,0.143338723271308,0.143338723271308
2010-07-06,0.145753251545033,"Landsat7 (ETM+)",2010,7,6,0.145753251545033,0.145753251545033
2010-07-11,0.148560197257507,"Landsat7 (ETM+)",2010,7,11,0.148560197257507,0.148560197257507
2010-07-16,0.151728595395764,"Landsat7 (ETM+)",2010,7,16,0.151728595395764,0.151728595395764
2010-07-21,0.155227480946833,"Landsat7 (ETM+)",2010,7,21,0.155227480946833,0.155227480946833
2010-07-26,0.159025888897747,"Landsat7 (ETM+)",2010,7,26,0.159025888897747,0.159025888897747
2010-07-31,0.163092854235537,"Landsat7 (ETM+)",2010,7,31,0.163092854235537,0.163092854235537
2010-08-05,0.167397411947235,"Landsat7 (ETM+)",2010,8,5,0.167397411947235,0.167397411947235
2010-08-10,0.171908597019872,"Landsat7 (ETM+)",2010,8,10,0.171908597019872,0.171908597019872
2010-08-15,0.176595444440479,"Landsat7 (ETM+)",2010,8,15,0.176595444440479,0.176595444440479
2010-08-20,0.181426989196088,"Landsat7 (ETM+)",2010,8,20,0.181426989196088,0.181426989196088
2010-08-25,0.18637226627373,"Landsat7 (ETM+)",2010,8,25,0.18637226627373,0.18637226627373
2010-08-30,0.191400310660438,"Landsat7 (ETM+)",2010,8,30,0.191400310660438,0.191400310660438
2010-09-04,0.196480157343241,"Landsat7 (ETM+)",2010,9,4,0.196480157343241,0.196480157343241
2010-09-09,0.201580841309172,"Landsat7 (ETM+)",2010,9,9,0.201580841309172,0.201580841309172
2010-09-14,0.206671397545262,"Landsat7 (ETM+)",2010,9,14,0.206671397545262,0.206671397545262
2010-09-19,0.211720861038543,"Landsat7 (ETM+)",2010,9,19,0.211720861038543,0.211720861038543
2010-09-24,0.216698266776045,"Landsat7 (ETM+)",2010,9,24,0.216698266776045,0.216698266776045
2010-09-29,0.221572649744801,"Landsat7 (ETM+)",2010,9,29,0.221572649744801,0.221572649744801
2010-10-04,0.226313044931842,"Landsat7 (ETM+)",2010,10,4,0.226313044931842,0.226313044931842
2010-10-09,0.2308884873242,"Landsat7 (ETM+)",2010,10,9,0.2308884873242,0.2308884873242
2010-10-14,0.235268011908905,"Landsat7 (ETM+)",2010,10,14,0.235268011908905,0.235268011908905
2010-10-19,0.239420653672989,"Landsat7 (ETM+)",2010,10,19,0.239420653672989,0.239420653672989
2010-10-24,0.243315447603484,"Landsat7 (ETM+)",2010,10,24,0.243315447603484,0.243315447603484
2010-10-29,0.246921428687421,"Landsat7 (ETM+)",2010,10,29,0.246921428687421,0.246921428687421
2010-11-03,0.250207631911832,"Landsat7 (ETM+)",2010,11,3,0.250207631911832,0.250207631911832
2010-11-08,0.253143092263748,"Landsat7 (ETM+)",2010,11,8,0.253143092263748,0.253143092263748
2010-11-13,0.2556968447302,"Landsat7 (ETM+)",2010,11,13,0.2556968447302,0.2556968447302
2010-11-18,0.25783792429822,"Landsat7 (ETM+)",2010,11,18,0.25783792429822,0.25783792429822
2010-11-23,0.25953536595484,"Landsat7 (ETM+)",2010,11,23,0.25953536595484,0.25953536595484
2010-11-28,0.26075820468709,"Landsat7 (ETM+)",2010,11,28,0.26075820468709,0.26075820468709
2010-12-03,0.261475475482003,"Landsat7 (ETM+)",2010,12,3,0.261475475482003,0.261594495111306
2010-12-08,0.261656213326609,"Landsat7 (ETM+)",2010,12,8,0.261656213326609,0.262012947134825
2010-12-13,0.261269453207941,"Landsat7 (ETM+)",2010,12,13,0.261269453207941,0.261648880962842
2010-12-18,0.260284230113029,"Landsat7 (ETM+)",2010,12,18,0.260284230113029,0.260138312400838
2010-12-23,0.257360363106575,"Landsat7 (ETM+)",2010,12,23,0.257360363106575,0.256986715625739
2010-12-28,0.25159765243734,"Landsat7 (ETM+)",2010,12,28,0.25159765243734,0.251188454212909
2011-01-02,0.243625104868442,"Landsat7 (ETM+)",2011,1,2,0.243625104868442,0.242110845401761
2011-01-07,0.232534099253826,"Landsat7 (ETM+)",2011,1,7,0.232534099253826,0.230563212403938
2011-01-12,0.21811994892596,"Landsat7 (ETM+)",2011,1,12,0.21811994892596,0.218630785600861
2011-01-17,0.205215706504532,"Landsat7 (ETM+)",2011,1,17,0.205215706504532,0.208433129198784
2011-01-22,0.198260155014395,"Landsat7 (ETM+)",2011,1,22,0.198260155014395,0.20094580343016
2011-01-27,0.196289624553174,"Landsat7 (ETM+)",2011,1,27,0.196289624553174,0.196244727102004
2011-02-01,0.19539211484971,"Landsat7 (ETM+)",2011,2,1,0.19539211484971,0.193392005105715
2011-02-06,0.191953097855731,"Landsat7 (ETM+)",2011,2,6,0.191953097855731,0.190476925511572
2011-02-11,0.186372403578389,"Landsat7 (ETM+)",2011,2,11,0.186372403578389,0.185992777316481
2011-02-16,0.1797637467389,"Landsat7 (ETM+)",2011,2,16,0.1797637467389,0.179821588003754
2011-02-21,0.172835800470239,"Landsat7 (ETM+)",2011,2,21,0.172835800470239,0.172979104634992
2011-02-26,0.166297237905383,"Landsat7 (ETM+)",2011,2,26,0.166297237905383,0.166695220492825
2011-03-03,0.160856732177308,"Landsat7 (ETM+)",2011,3,3,0.160856732177308,0.161498360798327
2011-03-08,0.157222956418991,"Landsat7 (ETM+)",2011,3,8,0.157222956418991,0.157530398658203
2011-03-13,0.154933279539364,"Landsat7 (ETM+)",2011,3,13,0.154933279539364,0.154717970823386
2011-03-18,0.153051609398972,"Landsat7 (ETM+)",2011,3,18,0.153051609398972,0.152811447160991
2011-03-23,0.151576427558211,"Landsat7 (ETM+)",2011,3,23,0.151576427558211,0.151491466312771
2011-03-28,0.15050621557748,"Landsat7 (ETM+)",2011,3,28,0.15050621557748,0.15050621557748
2011-04-02,0.149839455017173,"Landsat7 (ETM+)",2011,4,2,0.149839455017173,0.149839455017173
2011-04-07,0.149574627437687,"Landsat7 (ETM+)",2011,4,7,0.149574627437687,0.149574627437687
2011-04-12,0.14971021439942,"Landsat7 (ETM+)",2011,4,12,0.14971021439942,0.14971021439942
2011-04-17,0.150244697462768,"Landsat7 (ETM+)",2011,4,17,0.150244697462768,0.150244697462768
2011-04-22,0.151176558188127,"Landsat7 (ETM+)",2011,4,22,0.151176558188127,0.151176558188127
2011-04-27,0.152504278135894,"Landsat7 (ETM+)",2011,4,27,0.152504278135894,0.152504278135894
2011-05-02,0.154226338866466,"Landsat7 (ETM+)",2011,5,2,0.154226338866466,0.154226338866466
2011-05-07,0.156341221940239,"Landsat7 (ETM+)",2011,5,7,0.156341221940239,0.156341221940239
2011-05-12,0.158847408917609,"Landsat7 (ETM+)",2011,5,12,0.158847408917609,0.158714045956996
2011-05-17,0.161743381358975,"Landsat7 (ETM+)",2011,5,17,0.161743381358975,0.161410487178508
2011-05-22,0.165027620824731,"Landsat7 (ETM+)",2011,5,22,0.165027620824731,0.164858650726605
2011-05-27,0.168698608875275,"Landsat7 (ETM+)",2011,5,27,0.168698608875275,0.169574615008614
2011-06-01,0.174221819637751,"Landsat7 (ETM+)",2011,6,1,0.174221819637751,0.175187456575816
2011-06-06,0.181834588001948,"Landsat7 (ETM+)",2011,6,6,0.181834588001948,0.18169717542821
2011-06-11,0.189693186672229,"Landsat7 (ETM+)",2011,6,11,0.189693186672229,0.189103771565797
