date,year,month,day,median_ndvi,landsat
14-04-2010,2010,4,14,0.115443356335163,Landsat4/5 (TM)
30-04-2010,2010,4,30,0.118875674903393,Landsat4/5 (TM)
16-05-2010,2010,5,16,0.126662984490395,Landsat4/5 (TM)
"01-06-2010",2010,6,1,0.121119230985641,Landsat4/5 (TM)
"04-08-2010",2010,8,4,0.314828217029572,Landsat4/5 (TM)
"05-09-2010",2010,9,5,0.275286465883255,Landsat4/5 (TM)
21-09-2010,2010,9,21,0.369785368442535,Landsat4/5 (TM)
23-10-2010,2010,10,23,0.324686020612717,Landsat4/5 (TM)
10-12-2010,2010,12,10,0.256054669618607,Landsat4/5 (TM)
26-12-2010,2010,12,26,0.232458174228668,Landsat4/5 (TM)
27-01-2011,2011,1,27,0.177380964159966,Landsat4/5 (TM)
12-02-2011,2011,2,12,0.167955756187439,Landsat4/5 (TM)
28-02-2011,2011,2,28,0.157121613621712,Landsat4/5 (TM)
"01-04-2011",2011,4,1,0.108970820903778,Landsat4/5 (TM)
17-04-2011,2011,4,17,0.12418770045042,Landsat4/5 (TM)
"06-04-2010",2010,4,6,0.127978548407555,Landsat7 (ETM+)
22-04-2010,2010,4,22,0.131383493542671,Landsat7 (ETM+)
"08-05-2010",2010,5,8,0.137937679886818,Landsat7 (ETM+)
24-05-2010,2010,5,24,0.138113096356392,Landsat7 (ETM+)
"09-06-2010",2010,6,9,0.13816149532795,Landsat7 (ETM+)
18-12-2010,2010,12,18,0.260284230113029,Landsat7 (ETM+)
"03-01-2011",2011,1,3,0.241820767521858,Landsat7 (ETM+)
19-01-2011,2011,1,19,0.201587378978729,Landsat7 (ETM+)
"04-02-2011",2011,2,4,0.193738803267479,Landsat7 (ETM+)
"08-03-2011",2011,3,8,0.157222956418991,Landsat7 (ETM+)
